customer_id,gender
2,female
3,female
4,female
5,female
6,female
7,female
8,female
9,female
10,female
11,female
12,female
13,female
14,female
15,female
16,female
17,female
18,female
19,female
20,female
21,female
22,female
23,female
24,female
25,female
26,female
27,female
28,female
29,female
30,female
31,female
32,female
33,female
34,female
35,female
36,female
37,female
38,female
39,female
40,female
41,female
42,female
43,female
44,female
45,female
46,female
47,female
48,female
49,female
50,female
51,female
52,female
53,female
54,female
55,female
56,female
57,female
58,female
59,female
60,female
61,female
62,female
63,female
64,female
65,female
66,female
67,female
68,female
69,female
70,female
71,female
72,female
73,female
74,female
75,female
76,female
77,female
78,female
79,female
80,female
81,female
82,female
83,female
84,female
85,female
86,female
87,female
88,female
89,female
90,female
91,female
92,female
93,female
94,female
95,female
96,female
97,female
98,female
99,female
100,male
101,female
102,female
103,female
104,female
105,female
106,female
107,female
108,female
109,female
110,female
111,female
112,female
113,female
114,female
115,female
116,female
117,female
118,female
119,female
120,female
121,female
122,female
123,female
124,female
125,female
126,female
127,female
128,female
129,female
130,female
131,female
132,female
133,female
134,female
135,female
136,female
137,female
138,female
139,female
140,female
141,female
142,female
143,female
144,female
145,female
146,male
147,female
148,female
149,female
150,female
151,female
152,female
153,female
154,female
155,female
156,female
157,female
158,female
159,female
160,female
161,female
162,female
163,female
164,female
165,female
166,female
167,female
168,female
169,female
170,female
171,female
172,female
173,female
174,female
175,female
176,female
177,female
178,female
179,female
180,female
181,female
182,female
183,female
184,female
185,female
186,female
187,female
188,female
189,female
190,female
191,female
192,female
193,female
194,female
195,female
196,female
197,female
198,female
199,female
200,female
201,female
202,female
203,female
204,female
205,female
206,female
207,female
208,female
209,female
210,female
211,female
212,female
213,female
214,female
215,female
216,female
217,female
218,female
219,male
220,female
221,female
222,female
223,female
224,female
225,female
226,female
227,female
228,female
229,female
230,female
231,female
232,female
233,female
234,female
235,female
236,female
237,female
238,female
239,female
240,female
241,female
242,female
243,female
244,female
245,female
246,female
247,female
248,female
249,female
250,female
251,female
252,female
253,male
254,female
255,female
256,female
257,female
258,female
259,female
260,female
261,female
262,female
263,female
264,female
265,female
266,female
267,female
268,female
269,female
270,female
271,female
272,female
273,female
274,female
275,female
276,female
277,female
278,female
279,female
280,female
281,female
282,female
283,female
284,female
285,female
286,female
287,female
288,female
289,female
290,female
291,female
292,female
293,female
294,female
295,female
296,female
297,female
298,female
299,male
300,male
301,male
302,male
303,male
304,male
305,male
306,male
307,male
308,male
309,male
310,male
311,male
312,male
313,male
314,male
315,male
316,male
317,male
318,male
319,male
320,male
321,male
322,male
323,male
324,male
325,male
326,male
327,male
328,male
329,male
330,male
331,male
332,male
333,male
334,male
335,male
336,male
337,male
338,male
339,male
340,male
341,male
342,male
343,male
344,male
345,male
346,male
347,male
348,male
349,male
350,male
351,male
352,male
353,male
354,male
355,male
356,male
357,male
358,male
359,male
360,male
361,male
362,male
363,male
364,male
365,male
366,male
367,male
368,male
369,male
370,male
371,male
372,male
373,male
374,male
375,male
376,male
377,male
378,male
379,male
380,male
381,male
382,male
383,male
384,male
385,male
386,male
387,male
388,male
389,male
390,male
391,male
392,male
393,male
394,male
395,male
396,male
397,male
398,male
399,male
400,male
401,male
402,male
403,male
404,male
405,male
406,male
407,male
408,male
409,male
410,male
411,male
412,male
413,male
414,male
415,male
416,male
417,male
418,male
419,male
420,male
421,male
422,male
423,male
424,male
425,male
426,male
427,male
428,male
429,male
430,male
431,male
432,male
433,male
434,male
435,male
436,male
437,male
438,male
439,male
440,male
441,male
442,male
443,male
444,male
445,male
446,male
447,male
448,male
449,male
450,male
451,male
452,male
453,male
454,male
455,male
456,male
457,male
458,male
459,male
460,male
461,male
462,male
463,male
464,male
465,male
466,male
467,male
468,male
469,male
470,male
471,male
472,male
473,male
474,male
475,male
476,male
477,male
478,male
479,male
480,male
481,male
482,male
483,male
484,male
485,male
486,male
487,male
488,male
489,male
490,male
491,male
492,male
493,male
494,male
495,male
496,male
497,male
498,male
499,male
500,male
501,male
502,male
503,male
504,male
505,male
506,female
507,male
508,male
509,male
510,male
511,male
512,male
513,male
514,male
515,male
516,male
517,male
518,male
519,male
520,male
521,male
522,male
523,male
524,male
525,male
526,male
527,male
528,male
529,male
530,male
531,male
532,male
533,female
534,male
535,male
536,male
537,male
538,male
539,male
540,male
541,male
542,male
543,male
544,male
545,male
546,female
547,male
548,male
549,male
550,male
551,male
552,male
553,male
554,male
555,male
556,male
557,male
558,male
559,male
560,male
561,male
562,male
563,male
564,male
565,male
566,male
567,male
568,male
569,male
570,male
571,male
572,male
573,male
574,male
575,male
576,male
577,male
578,male
579,male
580,male
581,male
582,male
583,male
584,male
585,male
586,male
587,male
588,female
589,female
590,male
591,male
592,male
593,male
594,male
595,male
596,male
597,male
598,male
599,male
1,female
